"CatalogDate","CatalogID","CatalogName","Image","Itemnumber","ItemCategory","ItemSubcat2","ItemSubcat3","ItemSubcat4","ItemSubcat5","Description","Parts/Merch/EquipCode","PurchaseUOM","Weight","WeightUOM","Length","Width","Height","SizeUOM","ListPrice","NetPrice","Currency","CatalogDetailedDescription","ItemDetailedDescription"
"03/26/202111:00:00","1","SunbeltRentals","image_catalog_tab.jpg","10425823","DUCTING&HVAC","ACDUCT","ACDUCTHOSE","","","24""X25FTACDUCTWHITEW/WHITEWEARSTRIPW/WIREROPEFX-180SF","P","EA","","","","","","","","","USD","Ourbreadthofproductsandservicesenableustodelivercompletesystemsolutions24/7includingemergencyresponseandquickon-sitedeliveryfromoneofour90locationsinNorthAmericathathaveavailablelocalinventorytotherentalindustry.Additionallyourproduct,application,industryandcustomerknow-howenableustoprovideinnovativeandproactivesolutionsthatreducedowntimeandeliminateemergencies.Weonlypartnerwithandprovidethehighestqualityandreliableproductsfromreputablemanufacturers.","24""X25FTACDUCTWHITEW/WHITEWEARSTRIPW/WIREROPEFX-180SF"
"03/26/202111:00:00","1","SunbeltRentals","image_catalog_tab.jpg","10189044","DUCTING&HVAC","ACDUCT","ACDUCTWYES","","","20""X12""X12""ACDUCT-WYE-WHITE-FX-180","P","EA","","","","","","","","","USD","Ourbreadthofproductsandservicesenableustodelivercompletesystemsolutions24/7includingemergencyresponseandquickon-sitedeliveryfromoneofour90locationsinNorthAmericathathaveavailablelocalinventorytotherentalindustry.Additionallyourproduct,application,industryandcustomerknow-howenableustoprovideinnovativeandproactivesolutionsthatreducedowntimeandeliminateemergencies.Weonlypartnerwithandprovidethehighestqualityandreliableproductsfromreputablemanufacturers.","20""X12""X12""ACDUCT-WYE-WHITE-FX-180"
"03/26/202111:00:00","1","SunbeltRentals","image_catalog_tab.jpg","10211687","DUCTING&HVAC","ACDUCT","ACDUCTWYES","","","12""X12""X12""ACDUCT-WYE-WHITE-FX-180","P","EA","","","","","","","","","USD","Ourbreadthofproductsandservicesenableustodelivercompletesystemsolutions24/7includingemergencyresponseandquickon-sitedeliveryfromoneofour90locationsinNorthAmericathathaveavailablelocalinventorytotherentalindustry.Additionallyourproduct,application,industryandcustomerknow-howenableustoprovideinnovativeandproactivesolutionsthatreducedowntimeandeliminateemergencies.Weonlypartnerwithandprovidethehighestqualityandreliableproductsfromreputablemanufacturers.","12""X12""X12""ACDUCT-WYE-WHITE-FX-180"
"03/26/202111:00:00","1","SunbeltRentals","image_catalog_tab.jpg","10417800","DUCTING&HVAC","ACDUCT","ACDUCTWYES","","","20""X14""X14""ACDUCT-WYE-WHITE-FX-180","P","EA","","","","","","","","","USD","Ourbreadthofproductsandservicesenableustodelivercompletesystemsolutions24/7includingemergencyresponseandquickon-sitedeliveryfromoneofour90locationsinNorthAmericathathaveavailablelocalinventorytotherentalindustry.Additionallyourproduct,application,industryandcustomerknow-howenableustoprovideinnovativeandproactivesolutionsthatreducedowntimeandeliminateemergencies.Weonlypartnerwithandprovidethehighestqualityandreliableproductsfromreputablemanufacturers.","20""X14""X14""ACDUCT-WYE-WHITE-FX-180"
"03/26/202111:00:00","1","SunbeltRentals","image_catalog_tab.jpg","10417799","DUCTING&HVAC","ACDUCT","RETURNDUCT","","","20""X25FTACDUCTWHITEW/WHITEWEARSTRIPW/WIREROPE4""PITCHFX-180RETURNDUCT","P","EA","","","","","","","","","USD","Ourbreadthofproductsandservicesenableustodelivercompletesystemsolutions24/7includingemergencyresponseandquickon-sitedeliveryfromoneofour90locationsinNorthAmericathathaveavailablelocalinventorytotherentalindustry.Additionallyourproduct,application,industryandcustomerknow-howenableustoprovideinnovativeandproactivesolutionsthatreducedowntimeandeliminateemergencies.Weonlypartnerwithandprovidethehighestqualityandreliableproductsfromreputablemanufacturers.","20""X25FTACDUCTWHITEW/WHITEWEARSTRIPW/WIREROPE4""PITCHFX-180RETURNDUCT"
"03/26/202111:00:00","1","SunbeltRentals","image_catalog_tab.jpg","10040033","DUCTING&HVAC","HEATERDUCT","HEATERDUCTWYES","","","12""X12''X12""HEATERDUCT-WYE-BLACK-FX-400","P","EA","","","","","","","","","USD","Ourbreadthofproductsandservicesenableustodelivercompletesystemsolutions24/7includingemergencyresponseandquickon-sitedeliveryfromoneofour90locationsinNorthAmericathathaveavailablelocalinventorytotherentalindustry.Additionallyourproduct,application,industryandcustomerknow-howenableustoprovideinnovativeandproactivesolutionsthatreducedowntimeandeliminateemergencies.Weonlypartnerwithandprovidethehighestqualityandreliableproductsfromreputablemanufacturers.","12""X12''X12""HEATERDUCT-WYE-BLACK-FX-400"
"03/26/202111:00:00","1","SunbeltRentals","image_catalog_tab.jpg","10200492","DUCTING&HVAC","HEATERDUCT","HEATERDUCTWYES","","","20""X20""X20""HEATERDUCT-WYE-BLACK-FX-400","P","EA","","","","","","","","","USD","Ourbreadthofproductsandservicesenableustodelivercompletesystemsolutions24/7includingemergencyresponseandquickon-sitedeliveryfromoneofour90locationsinNorthAmericathathaveavailablelocalinventorytotherentalindustry.Additionallyourproduct,application,industryandcustomerknow-howenableustoprovideinnovativeandproactivesolutionsthatreducedowntimeandeliminateemergencies.Weonlypartnerwithandprovidethehighestqualityandreliableproductsfromreputablemanufacturers.","20""X20""X20""HEATERDUCT-WYE-BLACK-FX-400"
"03/26/202111:00:00","1","SunbeltRentals","image_catalog_tab.jpg","10258212","DUCTING&HVAC","HEATERDUCT","HEATERDUCTWYES","","","20""X12""X12""HEATERDUCT-WYE-BLACK-FX-400","P","EA","","","","","","","","","USD","Ourbreadthofproductsandservicesenableustodelivercompletesystemsolutions24/7includingemergencyresponseandquickon-sitedeliveryfromoneofour90locationsinNorthAmericathathaveavailablelocalinventorytotherentalindustry.Additionallyourproduct,application,industryandcustomerknow-howenableustoprovideinnovativeandproactivesolutionsthatreducedowntimeandeliminateemergencies.Weonlypartnerwithandprovidethehighestqualityandreliableproductsfromreputablemanufacturers.","20""X12""X12""HEATERDUCT-WYE-BLACK-FX-400"
"03/26/202111:00:00","1","SunbeltRentals","image_catalog_tab.jpg","10425772","DUCTING&HVAC","HEATERDUCT","HIGHTEMPERATUREHEATERDUCTHOSE","","","20""X25FTHEATERDUCT15OZSEWN1-PLYHDSILCOATEDGLASSW/WEARSTRIPBELTEDCUFFXWIREROPERINGFX-550","P","EA","","","","","","","","","USD","Ourbreadthofproductsandservicesenableustodelivercompletesystemsolutions24/7includingemergencyresponseandquickon-sitedeliveryfromoneofour90locationsinNorthAmericathathaveavailablelocalinventorytotherentalindustry.Additionallyourproduct,application,industryandcustomerknow-howenableustoprovideinnovativeandproactivesolutionsthatreducedowntimeandeliminateemergencies.Weonlypartnerwithandprovidethehighestqualityandreliableproductsfromreputablemanufacturers.","20""X25FTHEATERDUCT15OZSEWN1-PLYHDSILCOATEDGLASSW/WEARSTRIPBELTEDCUFFXWIREROPERINGFX-550"
"03/26/202111:00:00","1","SunbeltRentals","image_catalog_tab.jpg","10425780","DUCTING&HVAC","HEATERDUCT","HIGHTEMPERATUREHEATERDUCTHOSE","","","24""X25FTHEATERDUCT15OZSEWN1-PLYHDSILCOATEDGLASSW/WEARSTRIPBELTEDCUFFXWIREROPERINGFX-550","P","EA","","","","","","","","","USD","Ourbreadthofproductsandservicesenableustodelivercompletesystemsolutions24/7includingemergencyresponseandquickon-sitedeliveryfromoneofour90locationsinNorthAmericathathaveavailablelocalinventorytotherentalindustry.Additionallyourproduct,application,industryandcustomerknow-howenableustoprovideinnovativeandproactivesolutionsthatreducedowntimeandeliminateemergencies.Weonlypartnerwithandprovidethehighestqualityandreliableproductsfromreputablemanufacturers.","24""X25FTHEATERDUCT15OZSEWN1-PLYHDSILCOATEDGLASSW/WEARSTRIPBELTEDCUFFXWIREROPERINGFX-550"
